Lassen Sie sich von hoher Qualität, großer Auswahl und exzellentem Service überzeugen!	86
Das ist besser.	15
Auf Kamelen ritten sie durchs Morgenland.	41
Von Kreuzvalidierung hatte Brigitte vorher noch nie gehört.	59
Ich habe meine Brille vergessen.	32
Er wurde in Koblenz geboren 	28
Die Yoga-Lehrerin nimmt eine unmöglich aussehende Pose ein.	59
Korrelation geht nicht immer mit Kausalität einher.	51
Die Luftfeuchtigkeit kommt in der allgemeinen Gasgleichung gar nicht vor.	73
Außerdem wollte er noch schnell nach Remscheid fahren	53
Champignons, Basilikum und Olivenöl sind noch über.	51
Ubuntu kocht in vielerlei Hinsicht sein eigenes Süppchen.	57
Wenn die Lok hinter den Waggons fährt, handelt es sich genau genommen nicht mehr um einen Zug sondern um einen Schub.	117
Deshalb sollten wir für mehr Akzeptanz werben.	46
Axel hat bei seinem Opa im Keller ein altes Grammophon gefunden.	64
Petra gehört auch zu den alteingesessenen Mitgliedern.	54
Dass sie den Geburtstag ihres Sohnes vergaß, zeigt, wie schlecht es ihr ging.	77
Es ist halb acht.	17
Wie lange kannst du die Luft anhalten?	38
Die Ökonomen werden langsam übermütig.	38
Sie waren ein angenehmes Publikum.	34
Das System ist narrensicher.	28
In dieser Physikstunde habe ich nichts verstanden.	50
Das Programm muss als Administrator ausgeführt werden.	54
Bamako ist die Hauptstadt von Mali.	35
Zum unterbrechungsfreien Abspielen hätte die Lesegeschwindigkeit jedoch nicht gereicht.	87
Bayerischer Leberkäse enthält gar keine Leber.	46
Mehr Spielplätze und Sportstätten müssen her!	45
Kapstadt ist der Parlamentssitz von Südafrika.	46
Frau Doktor, es gibt Komplikationen.	36
Ein Boxkampf gegen alle Trends: Der Meister gegen seine Abstinenz.	66
Sie hat eine Reise nach Australien in der Lotterie gewonnen.	60
Nein, aber eine Pinzette.	25
Schwammige Formulierungen wie diese sind fast schon eine Garantie für nicht vorhandenes Problembewusstsein.	107
Es ist schon eigenartig.	24
Jedes Kind hat das Recht darauf, erwünscht zu sein und in einer stabilen Beziehung aufzuwachsen.	96
Komm her, du faule Socke!	25
Über das lange Wochenende planen Natalie und Benny das gesamte Obergeschoss zu renovieren.	90
Am Mittwochabend lädt der Fachschaftsrat zu einer Runde Skat.	61
Ich muss die DVD bis Donnerstag in die Videothek zurückbringen.	63
Die Helferin nahm eine Ampulle aus dem Schrank und zog eine Spritze auf.	72
Bei der Landung hat Sina sich auf die Zunge gebissen.	53
Tabea setzte zum Endspurt an.	29
Das gibt es nur in Hattingen	28
Nach ein bis zwei Stunden hat es sich eingependelt.	51
Woher kommt der Drang, sich prestigeträchtiges Eigentum zuzulegen?	66
Welche Filme kann man heute in Lüneburg im Kino schauen?	56
Ich bitte Sie, das ist doch lächerlich!	39
Euch wünsche ich viel Erfolg bei der Suche nach euren Superhelden.	66
Dein Zimmer gleicht einem Saustall.	35
Für jede Überquerung der Brücke musste bezahlt werden.	54
Sieht so aus, als wären kriminelle Machenschaften in deinem Kollegium keine Seltenheit.	87
Auch eine Giraffe hat nur sieben Halswirbel.	44
Mit Tausenden dieser Brillen kann man vor der nächsten totalen Sonnenfinsternis ein Vermögen verdienen.	103
Könnte mir bitte jemand den Honig reichen?	42
Aquaponik verbindet Fischzucht und Pflanzenzucht unter einem Dach.	66
Chemisch gesehen sind Atome mit derselben Valenzschale sehr ähnlich.	68
Tanja leitet doch jetzt auch das Rückentraining am Mittwoch.	60
Ausgiebig feiert Mel seinen Triumph.	36
Haben wir es eher mit isotroper oder mit anisotroper Diffusion zu tun?	70
Den lassen wir nicht vom Haken.	31
Der Typ ist vollkommen irre!	28
Wer hat einen Vorschlag?	24
Felix benimmt sich aber auch wie eine Axt im Wald.	50
Dann denken wir uns eben schnell etwas aus.	43
Barbara pfeffert ihre Jacke achtlos in die Ecke.	48
Am sechsten Januar werden die Tannenbäume eingesammelt.	55
Ob Petrus mich durch die Himmelspforte lassen wird?	51
Die Hauptstadt von Taiwan ist Taipeh.	37
Ich brauche ein neues Buch.	27
Die Nordpassage ist eisfrei.	28
Meistens träume ich nicht, aber wenn, dann sind es Albträume.	61
Rauchern Krankenkassenleistungen zu kürzen, wäre der erste Schritt zur Abschaffung des Solidaritätsprinzips.	108
Jetzt wollen wir die Kirche aber mal im Dorf lassen.	52
Der grüne Opel fuhr bei Tiefrot über die Haltelinie.	52
Sofia ist die Hauptstadt von Bulgarien.	39
Die Stadt Aachen verteilt bereits vorsorglich Jodtabletten.	59
Gib mir den Wetterbericht für Würzburg	38
Dann stopfte er noch Unmengen an Proviant in seinen Rucksack.	61
Batterie-Ladestand ansagen.	27
Das Antibiotikum ist täglich oral einzunehmen.	46
Nordseekrabben sind mittlerweile abartig teuer, obwohl sie in Polen gepult werden.	82
Für die Gefangenen gibt es kein Entrinnen.	42
Ich könnte eine Mitfahrgelegenheit nach Schweinfurt anbieten	60
Allerdings gibt es die Karl-May-Festspiele in der Kalkbergarena.	64
Bei so viel Konfetti möchte ich nicht derjenige sein, der hinterher aufräumen muss.	83
Doris möchte den Posten wegen ihrer Kompetenz bekommen und nicht bloß als Quotenfrau dastehen.	94
Einen Stuhl weiter ließ sich eine ältere Dame Locken wickeln.	61
Angewidert wich sie zurück.	27
Bedient euch!	13
OK.	3
Mein Magazin ist leer.	22
Es ist noch viel Überzeugungsarbeit vonnöten.	45
Dirk hat so eine kalte Art, die mich jedes Mal frösteln lässt.	62
Was müssen die für einen schlechten Eindruck von uns haben.	59
Was kann ich für Sie tun?	25
Schrauben sind ein Zeichen für Qualität und Wartbarkeit.	56
Meister Knoll hatte ihn jüngst ähnlich betitelt.	48
Sie wohnt noch im Hotel Mama.	29
Was heißt das auf Tschechisch?	30
Valentin hat das Handtuch geworfen.	35
Was steht in den Büchern zu diesem Abschnitt?	45
Bagdad ist die Hauptstadt vom Irak.	35
Ehrlichkeit ist wichtiger als Höflichkeit.	42
Sie hat die Aussage bloß auf ihren Kern zurückgeführt.	54
Gleichzeitig ermöglichte das Gehirn die geplante Beschaffung von Nahrung.	73
Krokodilklemmen sind nicht für langfristige Verbindungen geeignet.	66
Den osmanischen Bräuchen wohnt ein Zauber inne.	47
Diese Aktion rückgängig machen.	31
Athen ist die Hauptstadt von Griechenland.	42
Er ist mein Verlobter.	22
Theodora hat uns den Christkindlesmarkt in Nürnberg empfohlen.	62
Im Inserat wird deutlich darauf hingewiesen, dass es keine Zweck-WG werden soll.	80
Die Rüstung schepperte blechern.	32
Weder Sydney noch Melbourne sind die Hauptstädte Australiens.	61
Erkennt das System auch Umlaute?	32
Soll das alles sein?	20
Für Tante Gertrud ist ihr Computer bloß eine Schreibmaschine mit Korrekturfunktion.	83
Finden Sie das witzig?	22
